pp: None     pu: None     cp: Root       cu: Root       cd: No Description
pp: Root     pu: Root     cp: I0         cu: I0         cd: AGRICULTURE, FORESTRY AND FISHING
pp: I0       pu: I0       cp: I01000     cu: I01        cd: AGRICULTURE AND HORTICULTURE
pp: I01000   pu: I01      cp: I01001     cu: I01001     cd: AGRICULTURE
pp: I01001   pu: I01001   cp: I0100105   cu: I0100105   cd: CATTLE FARMING
pp: I01001   pu: I01001   cp: I0100107   cu: I0100107   cd: EGG PRODUCTION
pp: I01001   pu: I01001   cp: I0100119   cu: I0100119   cd: PIG FARMING
pp: I01001   pu: I01001   cp: I0100121   cu: I0100121   cd: POULTRY FARMING
pp: I01001   pu: I01001   cp: I0100124   cu: I0100124   cd: SHEEP FARMING
pp: I01001   pu: I01001   cp: I0100128   cu: I0100128   cd: SUGAR BEET GROWING
pp: I01001   pu: I01001   cp: I0100132   cu: I0100132   cd: GRAIN, CEREALS FARMING
pp: I01001   pu: I01001   cp: I0100136   cu: I0100136   cd: SUGAR CANE GROWING
pp: I01001   pu: I01001   cp: I0100137   cu: I0100137   cd: COFFEE GROWING
pp: I01001   pu: I01001   cp: I0100138   cu: I0100138   cd: COTTON GROWING
pp: I01001   pu: I01001   cp: I0100141   cu: I0100141   cd: RUBBER GROWING
pp: I01001   pu: I01001   cp: I0100142   cu: I0100142   cd: TEA GROWING
pp: I01001   pu: I01001   cp: I0100144   cu: I0100144   cd: COCOA GROWING
pp: I01001   pu: I01001   cp: I0100145   cu: I0100145   cd: TOBACCO GROWING
pp: I01000   pu: I01      cp: I01002     cu: I01002     cd: HORTICULTURE
pp: I01002   pu: I01002   cp: I0100206   cu: I0100206   cd: FRUIT GROWING
pp: I01002   pu: I01002   cp: I0100216   cu: I0100216   cd: VEGETABLE GROWING
pp: I01002   pu: I01002   cp: I0100223   cu: I0100223   cd: SOYA GROWING
pp: I0       pu: I0       cp: I02000     cu: I02        cd: FORESTRY
pp: I0       pu: I0       cp: I03000     cu: I03        cd: FISHING
pp: Root     pu: Root     cp: I1         cu: I1         cd: ENERGY AND WATER SUPPLY
pp: I1       pu: I1       cp: I11000     cu: I11        cd: COAL MINING
pp: I1       pu: I1       cp: I12000     cu: I12        cd: COKE PRODUCTION
pp: I1       pu: I1       cp: I13000     cu: I13        cd: PETROLEUM AND NATURAL GAS
pp: I13000   pu: I13      cp: I1300002   cu: I1300002   cd: CRUDE OIL EXPLORATION
pp: I13000   pu: I13      cp: I1300003   cu: I1300003   cd: CRUDE OIL EXTRACTION
pp: I13000   pu: I13      cp: I1300013   cu: I1300013   cd: NATURAL GAS EXPLORATION
pp: I13000   pu: I13      cp: I1300014   cu: I1300014   cd: NATURAL GAS EXTRACTION
pp: I1       pu: I1       cp: I14000     cu: I14        cd: PETROLEUM REFINING AND PROCESSING
pp: I1       pu: I1       cp: I15000     cu: I15        cd: NUCLEAR FUEL
pp: I1       pu: I1       cp: I16000     cu: I16        cd: ELECTRICITY, GAS UTILITIES
pp: I16000   pu: I16      cp: I16100     cu: I161       cd: ELECTRICITY PRODUCTION
pp: I16100   pu: I161     cp: I1610107   cu: I1610107   cd: HYDRO ELECTRIC POWER
pp: I16100   pu: I161     cp: I1610109   cu: I1610109   cd: NUCLEAR POWER
pp: I16000   pu: I16      cp: I16200     cu: I162       cd: GAS PRODUCTION
pp: I16000   pu: I16      cp: I16300     cu: I163       cd: ALTERNATIVE ENERGY PRODUCTION
pp: I1       pu: I1       cp: I17000     cu: I17        cd: WATER SUPPLY
pp: Root     pu: Root     cp: I2         cu: I2         cd: METALS AND MINERALS
pp: I2       pu: I2       cp: I21000     cu: I21        cd: METAL ORE EXTRACTION
pp: I2       pu: I2       cp: I22000     cu: I22        cd: METAL MANUFACTURING
pp: I22000   pu: I22      cp: I22100     cu: I221       cd: IRON AND STEEL
pp: I22000   pu: I22      cp: I22200     cu: I222       cd: STEEL TUBES
pp: I22000   pu: I22      cp: I22300     cu: I223       cd: STEEL COLD ROLLING AND FORMING
pp: I22000   pu: I22      cp: I22400     cu: I224       cd: NON FERROUS METALS
pp: I22400   pu: I224     cp: I22450     cu: I2245      cd: ALUMINIUM AND ALUMINIUM ALLOYS
pp: I22400   pu: I224     cp: I22460     cu: I2246      cd: COPPER AND COPPER ALLOYS
pp: I22400   pu: I224     cp: I22470     cu: I2247      cd: OTHER NON FERROUS METALS
